Name,Quantity ,Link,Unit Price,Total Price
12V linear actuator,1,https://www.amazon.com/Actuator-Electric-Actuators-Robotics-Automation/dp/B0D17P1L7H/ref=sr_1_5?crid=1C0VJQ34GABOK&dib=eyJ2IjoiMSJ9.ubrltmKwHkqj7q8uOYbRyUYE2mOsMHZvVGMQhb-wlltu0IBTTWJU9ArckolTnz0rVqnobl-FwWjpAeVg-R9H5mC24bdry_X6KoUS7uJa1CJI6kv8xsz6UlayibEDmsMJlBjECkdM2svGBrQxQ0U_JBNtHqAj08Fgc6k-eAodheLy9ilX4WV7PVmCIZJMSWNZ_ambsgpfaGWCFNE9sUXS1II-TukgaVfgHEzkcH3Ry6E.jt7FpMyNm6CFbN874-SvvaVL5FFwzga883FQRoefGpY&dib_tag=se&keywords=12V%2B100mm%2Bhigh%2Bspeed%2Bmicro%2Bactuator&qid=1778522762&sprefix=12v%2B100mm%2Bhigh%2Bspeed%2Bmicro%2Bactuator%2Caps%2C160&sr=8-5&th=1,$25,$25
DPDT relay,1,https://www.amazon.com/Electromagnetic-Power-Relay-Socket-Indicator/dp/B07T12WLMT/ref=sr_1_1_sspa?crid=11QU84KOI63YC&dib=eyJ2IjoiMSJ9._ddQDiVCoTyLfhb5t-JHwdoOsZBbWFSYJXSJLsJmtGvIn6sLjmhWgr7bvCT4NWHJHqeg_ve6Wjs3yfvNwwG_79gcpEHejS1m9nxMGaw-SgittZsfTGAH2osheOT54L2aNQHOZAv4XTBYe-NDBEswPSaNeNJV5HLpeXxiv0NVQ0qKu1I4PEtZDXdWvMEKDs-CYYXGau_8eaUqHPyz_4hayfulh1yTg4m3P8FRkRRhpn0.ih2i3u4TjJAbtckgeaFsHn29xFTH1aarLA_DpIoahLM&dib_tag=se&keywords=6%2Bpin%2Bdpdt%2Brelay&qid=1778522125&sprefix=6%2Bpin%2Bdpdt%2Bre%2Caps%2C209&sr=8-1-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,$10,$10
Battery pack,1,https://www.amazon.com/JWISLAND-Battery-Holder-Leads-Wires/dp/B0BZMN1SRX/ref=sr_1_2_sspa?crid=S1DXHIS3LTJV&dib=eyJ2IjoiMSJ9.hQVCzDNE3wFs2GVL11to1rfhCIFpqyfpiseatFzJMs036vrIq5VdwW6DNVOF0P_cBst5sb6zjju136MHaqKgAXQcm5dTUHNJVOjO_nLqBh9rLlODvj0YbqD1Z5DmW6mKeCvAxJUA0y7tlSQa6nvBRkMorfh4FRzYjKyDXQZA1uAdjyVkphehMmjt9QQvM9jbu2_RUewkPHbEVY3u1FRzU6TPrW-U1qbRQdkmrhRDRSY.Goztl6GHvOHfrm6qUO8Jat2gUFdqhBLL5jTXYBQUo1E&dib_tag=se&keywords=4%2Baa%2Bbattery%2Bholder&qid=1781180245&sprefix=4%2BAA%2B%2Caps%2C214&sr=8-2-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,$9,$9
Button,1,https://www.amazon.com/dp/B0CJHXJWN3?th=1,$7,$7
Motors,1,https://www.amazon.com/13500RPM-Insulated-Connector-Airplane-Compatible/dp/B0CZVH445F/ref=sr_1_5?crid=1KF9VAS12NMM8&dib=eyJ2IjoiMSJ9.ffCbov4a2c1n4WXeT121d08qNQxSGTeHJY5OoUgb1xzKrcyzTKqdPfo7yLhXj2QZIVEFEZ6ayCpKbx9N3H1DIE4kFFxUItrqN2PtdsaG-vJDkh4Wh5PyqHGaN7CPmcGrslfzd2sk6wH1BTpcJPMZ2brHzaMxM3De8JeIZRA6iXWR51XJ4ffMKXEPhEEjH0mFMumNKPngV2tY_92YLJM5Sb0M9OsrS-GakzA_q9JYkJO5tCq2GIIpmxxSOU46FkK4U1RaHGJJRi6EcK8DNzR-noF9JqrDQJeUYsX82ui25YI.0txqnmixSOcDceZsBmVbTg-tG44x7mqmfanVy3S99JE&dib_tag=se&keywords=small%2Bhigh%2Bspeed%2Bmotor&qid=1779887159&sprefix=high%2Bspeed%2Bsmall%2Bm%2Caps%2C421&sr=8-5&th=1,$12,$12
Wires,1,https://www.amazon.com/TUOFENG-Wire-Stranded-Flexible-Silicone-Different/dp/B07G2BWBX8/ref=sr_1_4_sspa?crid=B3DICOAVHARP&dib=eyJ2IjoiMSJ9.qJE7UjNibAzbwpMmx2tJ0-UhLZpYJ7WPmsAGi2mxNAEgfWbfKC1nXpqU294rkpEoplX8HGPol0qkzvyFmey36jrc4tR53ApBoGeAPM1cp1sMILM-NfQ41fyoK0xtG9j5oVxTkTmxXoTAMurEbmX-ALhpjQF2LcgOdUxre9OdfYsFjKy--HD4EPIG-D1ZDBU-ZzOIvUq8nJ5KekifQsasjiJduM1abtCcqd1aymodfKNc9S6Uf6a01rkOjd21H_zmoh5xi7bgbqlHQUmvF7aV9_zQSUWYPFeIwKuyXzU72Us.kCQJkT2SSgpKNmdzMHuzySM7MkU8rVSiwGUyGIOC56A&dib_tag=se&keywords=wires&qid=1782307026&sprefix=wires%2Caps%2C177&sr=8-4-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9hdGY&th=1,$16,$16
,,,,
,,,,
,,,,
,,,,
,,,,$79
